wallet,name,pnl,usdc_amount,link
0x0ad7f1a66e6b6df6f5ea21852e0ff5d3ad878ad2,anon,"$3,714.84 (116.09%)",3200,https://www.polymarket.com/0x0ad7f1a66e6b6df6f5ea21852e0ff5d3ad878ad2
0x128744a38772e44b8c08bea93e188182f65fe491,marketboy,"$22,110.29 (158.23%)",6977.33,https://www.polymarket.com/0x128744a38772e44b8c08bea93e188182f65fe491
0xe4e1095da07f9924cf007a99bc0103f4027ff038,anon,"$20,697.48 (501.27%)",3000,https://www.polymarket.com/0xe4e1095da07f9924cf007a99bc0103f4027ff038
0x514550b8f94f24e3bd5fca1c8af19e985fb71f46,anon,"$280,507.41 (492.62%)",29696.8016,https://www.polymarket.com/0x514550b8f94f24e3bd5fca1c8af19e985fb71f46
0x60c512101ce36016276bc188243f9ce8300b2082,MrMopell,"$19,190.40 (653.85%)",2934.999999,https://www.polymarket.com/0x60c512101ce36016276bc188243f9ce8300b2082
0xb2d7cebe60e8e667b177993e382ff3b95b81312c,anon,"$134,334.55 (392.3%)",28000,https://www.polymarket.com/0xb2d7cebe60e8e667b177993e382ff3b95b81312c
0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,alliswell,"$111,413.25 (477.3%)",2756.8848,https://www.polymarket.com/0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e
0x9e7d792c5d9f698fd9d0dbd1ae337dbe96543ce8,Levc505,"$19,644.57 (344.18%)",5707.649999,https://www.polymarket.com/0x9e7d792c5d9f698fd9d0dbd1ae337dbe96543ce8
0x4db90f4a18b76724e9940c4fb3be8bdde3128339,PotassiumChloride,"$10,525.15 (225.15%)",2647.767,https://www.polymarket.com/0x4db90f4a18b76724e9940c4fb3be8bdde3128339
0x9ec7da81a2da3d47a47dd281b1ecf2cf2b3a35c0,gaba4,"$184,486.36 (293.68%)",7765.7887,https://www.polymarket.com/0x9ec7da81a2da3d47a47dd281b1ecf2cf2b3a35c0
0xf5477b7f259d0a1e40e1c62f7f769d725dab332c,anon,"$18,893.88 (314.9%)",6000,https://www.polymarket.com/0xf5477b7f259d0a1e40e1c62f7f769d725dab332c
0x38745db27f7360a287f6ca3c9b6a6a9c76149801,Planktonbets,"$174,233.60 (657.15%)",24813.89,https://www.polymarket.com/0x38745db27f7360a287f6ca3c9b6a6a9c76149801
0x6b61570c8576e74eb170d5fd6db0cacd63c2532e,anon,"$16,931.61 (424.14%)",3992,https://www.polymarket.com/0x6b61570c8576e74eb170d5fd6db0cacd63c2532e
0xb0cf67e3b628d5bf3cf1bab4eae52002e4cccf8e,JayP177,"$16,910.98 (401.07%)",4155,https://www.polymarket.com/0xb0cf67e3b628d5bf3cf1bab4eae52002e4cccf8e
0xd109e93d5a86a68982c0b5e94323d01ab728de03,carltiosway,"$14,173.63 (354.55%)",2639.5644,https://www.polymarket.com/0xd109e93d5a86a68982c0b5e94323d01ab728de03
0x1abe1368601330a310162064e04d3c2628cb6497,anon,"$169,840.69 (499.55%)",25000,https://www.polymarket.com/0x1abe1368601330a310162064e04d3c2628cb6497
0xdde15ebd95330ce69136dc0ccd810d22382e02c5,Dicedicedice,"$119,963.82 (400%)",6035.164,https://www.polymarket.com/0xdde15ebd95330ce69136dc0ccd810d22382e02c5
0x498916263b7c546e0c40be481107569d47e648c8,username136,"$128,267.97 (504.69%)",23584.3177,https://www.polymarket.com/0x498916263b7c546e0c40be481107569d47e648c8
0x09d3273fa76282ce09f4f35a87d6f087c05f4e84,fuego66,"$327,119.71 (615.47%)",21094.0467,https://www.polymarket.com/0x09d3273fa76282ce09f4f35a87d6f087c05f4e84
0xe9b80c387ba77a585423b13c850c2e126c3befd8,Mrs.Joker,"$327,119.71 (615.47%)",21000,https://www.polymarket.com/0xe9b80c387ba77a585423b13c850c2e126c3befd8
0x74a7081c2311db85a1e9b7176d7dd50a727e5980,Vasiliiiiii,"$11,927.40 (203.92%)",3590.1,https://www.polymarket.com/0x74a7081c2311db85a1e9b7176d7dd50a727e5980
0x5ed3561e39d6c9a9622c6f84a782537df7f9b19e,Vivaldi007,"$437,930.40 (684.41%)",18438.4546,https://www.polymarket.com/0x5ed3561e39d6c9a9622c6f84a782537df7f9b19e
0x94316f968e96c23acb45bfd1796a382adba6015f,lishengshun,"$46,492.03 (273.64%)",16990.025,https://www.polymarket.com/0x94316f968e96c23acb45bfd1796a382adba6015f
0xd87a4012b40aad76a870fed7d1976e9224dfd3b8,lymphnatic,"$94,783.71 (194.08%)",14687.4364,https://www.polymarket.com/0xd87a4012b40aad76a870fed7d1976e9224dfd3b8
0x776f7fb93be970d678068e00674b54af0ff10478,anon,"$115,878.85 (721.34%)",14477.6954,https://www.polymarket.com/0x776f7fb93be970d678068e00674b54af0ff10478
0x161adba7ce6a3d202ced6b2abc66b9451a386f22,Kurasi,"$8,199.96 (69.49%)",11663.0752,https://www.polymarket.com/0x161adba7ce6a3d202ced6b2abc66b9451a386f22
0xdbf16bcffa41bd95faec2640daa2c95ab2bd86b5,UnderperformingForALiving,"$335,808.83 (222.74%)",114009.7519,https://www.polymarket.com/0xdbf16bcffa41bd95faec2640daa2c95ab2bd86b5
0x8517b980e32611ed689e64c131e841a094002ce5,anon,"$1,508.31 (10.95%)",5004.695,https://www.polymarket.com/0x8517b980e32611ed689e64c131e841a094002ce5
0x37d10ffb61998561c5f9fb941c42c952d8fb4e28,casualFox99,"$187,447.26 (114.19%)",47984.90943,https://polymarket.com/0x37d10ffb61998561c5f9fb941c42c952d8fb4e28
0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,denizz,"$250,559.75 (135.1%)",29943.82025,https://polymarket.com/0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73
